time,stage,split,step,loss,bleu,chrf,lr,batch_size
1779642308.0704944,mlm,train,25,59.149413426717125,,,7.5e-05,10
1779642318.3323126,mlm,train,50,48.45244471232096,,,0.00015,10
1779642328.7264235,mlm,train,75,45.77399190266927,,,0.000225,10
1779642338.9779148,mlm,train,100,39.28240776062012,,,0.0003,10
1779642349.0147188,mlm,train,125,36.377811431884766,,,0.0002994292047137618,10
1779642359.4283543,mlm,train,150,28.08790111541748,,,0.0002977211629518312,10
1779642369.601259,mlm,train,175,28.203081766764324,,,0.0002948888739433602,10
1779642379.6760356,mlm,train,200,24.897963523864746,,,0.0002909538931178862,10
1779642380.1878228,mlm,valid,200,29.939703464508057,,,0.0002909538931178862,10
1779642390.0720227,mlm,train,225,23.164819081624348,,,0.0002859461680554975,10
1779642399.8637342,mlm,train,250,19.45249319076538,,,0.0002799038105676658,10
1779642409.6831694,mlm,train,275,20.152696927388508,,,0.00027287280664334875,10
1779642420.0690324,mlm,train,300,16.25102996826172,,,0.00026490666646784665,10
1779642430.2153785,mlm,train,325,16.371056874593098,,,0.00025606601717798207,10
1779642440.160505,mlm,train,350,17.395318031311035,,,0.0002464181414529809,10
1779642450.170665,mlm,train,375,17.737608750661213,,,0.00023603646545265687,10
1779642459.9767485,mlm,train,400,12.603213628133139,,,0.000225,10
1779642460.4839287,mlm,valid,400,19.651371049880982,,,0.000225,10
1779642470.4931614,mlm,train,425,13.4991455078125,,,0.0002133927392611049,10
1779642480.9669273,mlm,train,450,14.183520317077637,,,0.00020130302149885031,10
1779642491.379621,mlm,train,475,12.696505546569824,,,0.0001888228567653781,10
1779642501.5118556,mlm,train,500,13.41069253285726,,,0.00017604722665003956,10
1779642511.3037415,mlm,train,525,12.845071792602539,,,0.00016307336141214873,10
1779642521.3004682,mlm,train,550,11.63076639175415,,,0.00015,10
1779642531.349208,mlm,train,575,12.31563393274943,,,0.00013692663858785124,10
1779642541.6561558,mlm,train,600,11.037052551905314,,,0.00012395277334996044,10
1779642542.1629758,mlm,valid,600,14.15517954826355,,,0.00012395277334996044,10
1779642552.4021983,mlm,train,625,11.815793832143148,,,0.00011117714323462186,10
1779642562.8008754,mlm,train,650,11.216448624928793,,,9.869697850114969e-05,10
1779642572.295648,mlm,train,675,8.853470087051392,,,8.660726073889511e-05,10
1779642582.370896,mlm,train,700,11.308542251586914,,,7.500000000000002e-05,10
1779642592.3775294,mlm,train,725,10.479570309321085,,,6.396353454734311e-05,10
1779642602.7608266,mlm,train,750,10.819777329762777,,,5.358185854701909e-05,10
1779642612.9932656,mlm,train,775,11.022104263305664,,,4.3933982822017876e-05,10
1779642622.5846162,mlm,train,800,10.36750308672587,,,3.509333353215331e-05,10
1779642623.2412705,mlm,valid,800,12.259086298942567,,,3.509333353215331e-05,10
1779642633.3258595,mlm,train,825,9.33046849568685,,,2.7127193356651213e-05,10
1779642643.3870366,mlm,train,850,10.010956684748331,,,2.009618943233419e-05,10
1779642653.3516877,mlm,train,875,9.485076824824015,,,1.4053831944502508e-05,10
1779642663.2738273,mlm,train,900,10.310090065002441,,,9.046106882113751e-06,10
1779642672.9503329,mlm,train,925,10.670763492584229,,,5.11112605663977e-06,10
1779642682.8770118,mlm,train,950,9.600131511688232,,,2.2788370481687965e-06,10
1779642693.001706,mlm,train,975,8.68544872601827,,,5.707952862381681e-07,10
1779642703.4722972,mlm,train,1000,9.328008572260538,,,0.0,10
1779642703.9821403,mlm,valid,1000,12.260777616500855,,,0.0,10
