time,stage,split,step,loss,bleu,chrf,lr,batch_size
1779641291.2886183,clm,train,25,72.87523396809895,,,7.5e-05,10
1779641301.4603586,clm,train,50,53.05224927266439,,,0.00015,10
1779641311.619684,clm,train,75,43.83912658691406,,,0.000225,10
1779641321.9361217,clm,train,100,39.13496208190918,,,0.0003,10
1779641332.1911972,clm,train,125,33.02728080749512,,,0.0002994292047137618,10
1779641342.6442544,clm,train,150,28.689538955688477,,,0.0002977211629518312,10
1779641352.9220908,clm,train,175,25.022953351338703,,,0.0002948888739433602,10
1779641363.574819,clm,train,200,23.550183296203613,,,0.0002909538931178862,10
1779641364.0983152,clm,valid,200,23.917731857299806,,,0.0002909538931178862,10
1779641374.8112535,clm,train,225,21.165968894958496,,,0.0002859461680554975,10
1779641385.5200262,clm,train,250,18.273603121439617,,,0.0002799038105676658,10
1779641396.2709532,clm,train,275,16.943713823954266,,,0.00027287280664334875,10
1779641407.159107,clm,train,300,14.798563639322916,,,0.00026490666646784665,10
1779641418.0905101,clm,train,325,15.231069087982178,,,0.00025606601717798207,10
1779641428.546782,clm,train,350,13.823012510935465,,,0.0002464181414529809,10
1779641438.8500414,clm,train,375,12.575061798095703,,,0.00023603646545265687,10
1779641449.500211,clm,train,400,12.85448694229126,,,0.000225,10
1779641450.0257554,clm,valid,400,14.226903676986694,,,0.000225,10
1779641460.898613,clm,train,425,11.888878027598063,,,0.0002133927392611049,10
1779641471.6585393,clm,train,450,12.055665016174316,,,0.00020130302149885031,10
1779641482.4342334,clm,train,475,11.375841617584229,,,0.0001888228567653781,10
1779641493.0528867,clm,train,500,10.616343975067139,,,0.00017604722665003956,10
1779641504.0651808,clm,train,525,10.656726201375326,,,0.00016307336141214873,10
1779641514.5039032,clm,train,550,10.492654005686441,,,0.00015,10
1779641525.1859472,clm,train,575,10.415056228637695,,,0.00013692663858785124,10
1779641535.9691021,clm,train,600,10.71519406636556,,,0.00012395277334996044,10
1779641536.5252903,clm,valid,600,11.750399351119995,,,0.00012395277334996044,10
1779641547.2049975,clm,train,625,9.90467119216919,,,0.00011117714323462186,10
1779641558.0812728,clm,train,650,9.758244355519613,,,9.869697850114969e-05,10
1779641568.997514,clm,train,675,10.505679607391357,,,8.660726073889511e-05,10
1779641579.748722,clm,train,700,10.17389440536499,,,7.500000000000002e-05,10
1779641590.4932067,clm,train,725,10.002354780832926,,,6.396353454734311e-05,10
1779641601.11541,clm,train,750,9.927086353302002,,,5.358185854701909e-05,10
1779641611.8360736,clm,train,775,9.29603910446167,,,4.3933982822017876e-05,10
1779641622.690708,clm,train,800,9.792477289835611,,,3.509333353215331e-05,10
1779641623.300693,clm,valid,800,10.955255365371704,,,3.509333353215331e-05,10
1779641634.2916546,clm,train,825,9.698928991953531,,,2.7127193356651213e-05,10
1779641645.2035582,clm,train,850,9.612760384877523,,,2.009618943233419e-05,10
1779641655.9655023,clm,train,875,9.217948913574219,,,1.4053831944502508e-05,10
1779641667.0374558,clm,train,900,9.428720474243164,,,9.046106882113751e-06,10
1779641677.8638852,clm,train,925,10.24607515335083,,,5.11112605663977e-06,10
1779641688.8340654,clm,train,950,9.479765256245932,,,2.2788370481687965e-06,10
1779641699.86436,clm,train,975,8.89122986793518,,,5.707952862381681e-07,10
1779641710.6014102,clm,train,1000,9.102689901987711,,,0.0,10
1779641711.1285203,clm,valid,1000,10.812294244766235,,,0.0,10
1779641762.1669633,clm,train,25,72.87523396809895,,,7.5e-05,10
1779641772.3955522,clm,train,50,53.05224927266439,,,0.00015,10
1779641782.838015,clm,train,75,43.83912658691406,,,0.000225,10
1779641793.6371276,clm,train,100,39.13496208190918,,,0.0003,10
1779641804.2992058,clm,train,125,33.02728080749512,,,0.0002994292047137618,10
1779641815.0524337,clm,train,150,28.689538955688477,,,0.0002977211629518312,10
1779641825.813963,clm,train,175,25.022953351338703,,,0.0002948888739433602,10
1779641836.683145,clm,train,200,23.550183296203613,,,0.0002909538931178862,10
1779641837.201389,clm,valid,200,23.917731857299806,,,0.0002909538931178862,10
1779641847.860286,clm,train,225,21.165968894958496,,,0.0002859461680554975,10
1779641858.2130399,clm,train,250,18.273603121439617,,,0.0002799038105676658,10
1779641868.8264594,clm,train,275,16.943713823954266,,,0.00027287280664334875,10
1779641879.6312106,clm,train,300,14.798563639322916,,,0.00026490666646784665,10
1779641890.5994132,clm,train,325,15.231069087982178,,,0.00025606601717798207,10
1779641901.5277052,clm,train,350,13.823012510935465,,,0.0002464181414529809,10
1779641912.2451024,clm,train,375,12.575061798095703,,,0.00023603646545265687,10
1779641922.8801012,clm,train,400,12.85448694229126,,,0.000225,10
1779641923.4244845,clm,valid,400,14.226903676986694,,,0.000225,10
1779641934.0505424,clm,train,425,11.888878027598063,,,0.0002133927392611049,10
1779641944.4326222,clm,train,450,12.055665016174316,,,0.00020130302149885031,10
1779641955.4146864,clm,train,475,11.375841617584229,,,0.0001888228567653781,10
1779641965.9476883,clm,train,500,10.616343975067139,,,0.00017604722665003956,10
1779641976.9087188,clm,train,525,10.656726201375326,,,0.00016307336141214873,10
1779641987.6587763,clm,train,550,10.492654005686441,,,0.00015,10
1779641998.6467803,clm,train,575,10.415056228637695,,,0.00013692663858785124,10
1779642009.4667606,clm,train,600,10.71519406636556,,,0.00012395277334996044,10
1779642010.012678,clm,valid,600,11.750399351119995,,,0.00012395277334996044,10
1779642020.5272043,clm,train,625,9.90467119216919,,,0.00011117714323462186,10
1779642031.06733,clm,train,650,9.758244355519613,,,9.869697850114969e-05,10
1779642041.872128,clm,train,675,10.505679607391357,,,8.660726073889511e-05,10
1779642052.712575,clm,train,700,10.17389440536499,,,7.500000000000002e-05,10
1779642063.5837176,clm,train,725,10.002354780832926,,,6.396353454734311e-05,10
1779642074.3166943,clm,train,750,9.927086353302002,,,5.358185854701909e-05,10
1779642085.1682377,clm,train,775,9.29603910446167,,,4.3933982822017876e-05,10
1779642096.0676198,clm,train,800,9.792477289835611,,,3.509333353215331e-05,10
1779642096.601594,clm,valid,800,10.955255365371704,,,3.509333353215331e-05,10
1779642107.4780362,clm,train,825,9.698928991953531,,,2.7127193356651213e-05,10
1779642118.0389595,clm,train,850,9.612760384877523,,,2.009618943233419e-05,10
1779642128.5983057,clm,train,875,9.217948913574219,,,1.4053831944502508e-05,10
1779642139.435877,clm,train,900,9.428720474243164,,,9.046106882113751e-06,10
1779642150.3216622,clm,train,925,10.24607515335083,,,5.11112605663977e-06,10
1779642161.0919867,clm,train,950,9.479765256245932,,,2.2788370481687965e-06,10
1779642172.3808591,clm,train,975,8.89122986793518,,,5.707952862381681e-07,10
1779642183.2162929,clm,train,1000,9.102689901987711,,,0.0,10
1779642183.739587,clm,valid,1000,10.812294244766235,,,0.0,10
